data,hora,taxa
2024/08/13,18:24:46,9.907606404079798
2024/08/13,18:24:47,10.522437796779226
2024/08/13,18:24:48,10.804349368439233
2024/08/13,18:24:49,10.765730277080838
2024/08/13,18:24:50,10.057800157658123
2024/08/13,18:24:51,10.161126931740274
2024/08/13,18:24:52,10.354279677280418
2024/08/13,18:24:53,10.618967425582246
2024/08/13,18:24:54,9.972899194485429
2024/08/13,18:24:55,10.406999710805396
2024/08/14,09:44:20,10.132583085984317
2024/08/14,09:44:21,10.606674966081215
2024/08/14,09:44:22,10.511330219872988
2024/08/14,09:44:23,10.525525075295848
2024/08/14,09:44:24,9.909301150436894
2024/08/14,09:44:25,10.483221432505998
2024/08/14,09:44:26,10.274944473680442
2024/08/14,09:44:27,10.780327223620628
2024/08/14,09:44:28,9.92207406084459
2024/08/14,09:44:29,10.150936863297494
2024/08/14,09:45:21,10.375326475970203
2024/08/14,09:45:22,10.784038516772053
2024/08/14,09:45:23,10.290766911366266
2024/08/14,09:45:24,10.53296075222764
2024/08/14,09:45:25,10.339627727515065
2024/08/14,09:45:26,10.048403638623899
2024/08/14,09:45:27,10.814547494400493
2024/08/14,09:45:28,10.375760681875137
2024/08/14,09:45:29,10.602616968497736
2024/08/14,09:45:30,9.934928475910226
2024/08/14,09:49:34,10.816670119250304
2024/08/14,09:49:35,9.963561014651596
2024/08/14,09:49:36,10.728272776815833
2024/08/14,09:49:37,10.7595057577235
2024/08/14,09:49:38,10.274009835222751
2024/08/14,09:49:39,10.69178225142991
2024/08/14,09:49:40,10.148952498799868
2024/08/14,09:49:41,10.718262505339188
2024/08/14,09:49:42,10.108656547562546
2024/08/14,09:49:43,10.689680840111022
2024/08/14,09:54:54,10.508870733107413
2024/08/14,09:54:55,10.752453836077905
2024/08/14,09:54:56,10.70127403657887
2024/08/14,09:54:57,10.546642362671086
2024/08/14,09:54:58,10.34802368455088
2024/08/14,09:54:59,10.232182194090562
2024/08/14,09:55:00,10.607736324198157
2024/08/14,09:55:01,10.275784448020808
2024/08/14,09:55:02,10.600887161495391
2024/08/14,09:55:03,10.664203168791785
